@relation puma8NH-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute thetad1 numeric
@attribute thetad2 numeric
@attribute thetad3 numeric
@attribute tau1 numeric
@attribute tau2 numeric
@attribute thetadd3 numeric

@data
0.209146,0.717306,0.134163,0.708967,0.919562,0.542998,0.461428,0.953204,0.412242
0.26766,0.031499,0.811921,0.584533,0.761894,0.350039,0.922139,0.822648,0.526649
0.065601,0.439659,0.382564,0.775369,0.844375,0.21286,0.739159,0.593278,0.504355
0.952587,0.241565,0.630585,0.470626,0.511913,0.080985,0.666433,0.334383,0.380513
0.335002,0.725703,0.158009,0.40037,0.823303,0.165024,0.876711,0.325965,0.701039
0.074103,0.314432,0.339337,0.405065,0.72643,0.473023,0.587104,0.11284,0.424779
0.171462,0.437418,0.738219,0.117379,0.047082,0.845518,0.09661,0.73086,0.653407
0.415255,0.369679,0.156622,0.103917,0.813922,0.537929,0.292295,0.46661,0.388758
0.070413,0.295904,0.181649,0.639206,0.568685,0.988146,0.868978,0.366528,0.413659
0.638688,0.170925,0.304282,0.334319,0.807343,0.999139,0.594815,0.700896,0.213583
0.872386,0.464521,0.914348,0.747091,0.617536,0.793884,0.425312,0.984644,0.84114
0.692581,0.845008,0.747769,0.590903,0.820631,0.270803,0.424859,0.383981,0.683747
0.630599,0.228094,0.391844,0.717415,0.896077,0.93483,0.934269,0.679851,0.135422
0.165243,0.919624,0.825019,0.680751,0.739788,0.906972,0.805638,0.852381,0.794651
0.672337,0.643089,0.752436,0.012978,0.552971,0.967008,0.657374,0.098005,0.825137
0.871976,0.579332,0.018905,0.942487,0.329295,0.685684,0.205294,0.295226,0.543424
0.378621,0.747167,0.612959,0.278463,0.12057,0.620024,0.835892,0.332719,0.876698
0.598598,0.45735,0.474204,0.673047,0.269337,0.244424,0.146626,0.314447,0.656879
0.260975,0.69131,0.564029,0.072216,0.060853,0.229998,0.734802,0.379715,0.825023
0.584144,0.552178,0.002592,0.8105,0.2384,0.435056,0.584315,0.240112,0.441847
0.757528,0.277517,0.405715,0.795339,0.444573,0.618023,0.212666,0.184926,0.277504
0.242856,0.207639,0.881627,0.911388,0.701826,0.075737,0.477331,0.23001,0.863114
0.215535,0.0772,0.310556,0.774463,0.608872,0.231441,0.970558,0.554457,0.325639
0.853062,0.725155,0.944778,0.090769,0.859103,0.680853,0.031147,0.535796,0.524954
0.392626,0.097211,0.36753,0.146363,0.14161,0.141045,0.942133,0.850681,0.057069
0.534248,0.056923,0.789932,0.088046,0.091557,0.136364,0.270628,0.324242,0.481126
0.835331,0.749148,0.882406,0.997509,0.986722,0.97728,0.265005,0.820499,0.844549
0.858247,0.856681,0.769334,0.967958,0.379381,0.235391,0.352184,0.97678,0.726053
0.414949,0.225889,0.365388,0.151647,0.939654,0.123021,0.06001,0.61579,0.226316
0.189917,0.567662,0.039298,0.607981,0.815085,0.085701,0.910388,0.323777,0.423647
0.034549,0.608779,0.557288,0.801485,0.730915,0.825731,0.593622,0.668484,0.510818
0.991679,0.18825,0.270989,0.890595,0.262769,0.896088,0.895087,0.181761,0.159704
0.851646,0.93227,0.204911,0.527936,0.630527,0.076325,0.362335,0.586472,0.532321
0.559436,0.335225,0.541023,0.490656,0.110755,0.70795,0.379061,0.683001,0.284093
0.756351,0.500066,0.838271,0.365846,0.628747,0.170648,0.400863,0.087503,0.82779
0.174419,0.128374,0.725771,0.940348,0.382084,0.654799,0.200368,0.502177,0.263531
0.764855,0.406771,0.074468,0.598497,0.427367,0.522853,0.945439,0.408111,0.504671
0.954804,0.504446,0.401315,0.862539,0.760592,0.468797,0.575598,0.74984,0.548122
0.495934,0.176602,0.643643,0.888125,0.743662,0.010645,0.658593,0.592725,0.437629
0.532217,0.927209,0.204154,0.813893,0.257442,0.385179,0.425976,0.152175,0.839702
0.545118,0.717011,0.174984,0.657967,0.851529,0.428236,0.968695,0.245701,0.412071
0.607001,0.6715,0.876277,0.008054,0.796526,0.239722,0.132932,0.166751,0.623434
0.220946,0.010965,0.980418,0.963743,0.54396,0.551795,0.298476,0.339843,0.812909
0.580108,0.727692,0.563841,0.902278,0.60068,0.583538,0.709417,0.739636,0.873106
0.249914,0.813657,0.234924,0.860753,0.742986,0.648519,0.676222,0.853274,0.603083
0.869359,0.596277,0.591093,0.838908,0.633589,0.529885,0.108249,0.326531,0.863088
0.302372,0.36578,0.663831,0.112894,0.666107,0.909923,0.3821,0.75902,0.851783
0.670533,0.327345,0.209194,0.508266,0.056277,0.343421,0.716421,0.447849,0.287883
0.756163,0.338743,0.620993,0.286518,0.502026,0.959309,0.282153,0.014288,0.316621
0.128795,0.408155,0.311121,0.264529,0.963193,0.644305,0.864821,0.516726,0.239991
0.18721,0.079059,0.527128,0,0.44312,0.20038,0.020513,0.828667,0.19912
0.51865,0.920813,0.800053,0.157397,0.557837,0.713746,0.773735,0.690678,0.487237
0.635065,0.280652,0.055661,0.564444,0.148675,0.845893,0.405459,0.341812,0.604711
0.255313,0.549894,0.653257,0.439355,0.980481,0.111775,0.072422,0.220407,0.894775
0.591057,0.731146,0.56569,0.973237,0.091752,0.403204,0.327241,0.786257,0.881841
0.517491,0.457451,0.183028,0.817564,0.936018,0.042047,0.340156,0.833916,0.380572
0.798508,0.938667,0.629815,0.523367,0.839087,0.373656,0.790745,0.5676,0.457797
0.248813,0.316175,0.61729,0.062831,0.344283,0.511045,0.528554,0.101749,0.344633
0.488195,0.131298,0.820705,0.195291,0.391085,0.894845,0.006619,0.324451,0.202486
0.129041,0.544075,0.929233,0.874679,0.79076,0.359801,0.971004,0.055903,0.918445
0.402455,0.275425,0.267591,0.798686,0.695952,0.368785,0.950283,0.812426,0.300244
0.980741,0.369754,0.402495,0.683702,0.335792,0.841928,0.779468,0.046692,0.483227
0.901292,0.219183,0.755224,0.873986,0.13547,0.970418,0.969138,0.693056,0.667881
0.850637,0.96844,0.629209,0.346323,0.544655,0.237312,0.633041,0.15759,0.834567
0.069012,0.762103,0.448931,0.989213,0.569237,0.258277,0.93212,0.559045,0.845788
0.6171,0.377533,0.041198,0.543287,0.602637,0.468451,0.766093,0.249611,0.616826
0.698111,0.769701,0.052217,0.706879,0.845503,0.183082,0.342293,0.755301,0.282616
0.27816,0.490463,0.571357,0.2123,0.22493,0.102579,0.534527,0.494877,0.720278
0.053585,0.504082,0.292077,0.254283,0.779724,0.927792,0.666682,0.522707,0.410577
0.596901,0.925443,0.553035,0.329706,0.288044,0.5705,0.618377,0.686009,0.800501
0.777985,0.050711,0.459905,0.395587,0.451764,0.447299,0.318601,0.563796,0.403955
0.247294,0.791314,0.013413,0.640866,0.458054,0.132199,0.279886,0.908788,0.378676
0.693068,0.011594,0.532695,0.547297,0.000172,0.652535,0.159577,0.981518,0.076642
0.925883,0.486776,0.653068,0.264485,0.229596,0.501231,0.601278,0.330131,0.560949
0.895488,0.696532,0.264653,0.429398,0.646837,0.126389,0.647189,0.916212,0.54887
0.54328,0.840703,0.450162,0.675373,0.358531,0.909688,0.441792,0.955009,0.875778
0.200049,0.829905,0.09734,0.94394,0.743049,0.714325,0.492203,0.18593,0.390693
0.281834,0.23696,0.290042,0.04972,0.004838,0.048607,0.581167,0.33464,0.246484
0.952795,0.739717,0.498837,0.601234,0.428849,0.414783,0.905996,0.514294,0.734429
0.404918,0.652647,0.269752,0.107927,0.190922,0.698391,0.733064,0.159033,0.645281
0.088778,0.922662,0.839308,0.78909,0.420334,0.339842,0.580261,0.101243,0.488794
0.675741,0.8515,0.760134,0.368949,0.790706,0.454125,0.023508,0.141219,0.835372
0.508988,0.550706,0.289015,0.806907,0.844066,0.026061,0.700821,0.278043,0.602945
0.266148,0.622551,0.83589,0.365656,0.438846,0.393606,0.050444,0.84282,0.893774
0.93527,0.235903,0.542311,0.122932,0.371852,0.731056,0.644563,0.777475,0.178396
0.436541,0.086053,0.988184,0.478102,0.136453,0.494382,0.515821,0.122259,0.420251
0.116741,0.846425,0.54152,0.826741,0.165829,0.071045,0.642187,0.854013,0.673398
0.783466,0.167811,0.012363,0.997516,0.11372,0.518565,0.896359,0.554296,0.529675
0.661503,0.566344,0.907142,0.660754,0.679122,0.580662,0.382645,0.918561,0.901232
0.502311,0.344828,0.805041,0.975251,0.940722,0.075359,0.121513,0.260726,0.796975
0.224316,0.636631,0.291227,0.967572,0.888245,0.347007,0.986323,0.512127,0.716099
0.23271,0.705888,0.375696,0.359729,0.846485,0.681235,0.446619,0.086025,0.61123
0.133073,0.305196,0.227251,0.93586,0.949057,0.124355,0.466069,0.965688,0.303367
0.315292,0.490014,0.035024,0.793093,0.703372,0.048337,0.04412,0.563516,0.419758
0.294917,0.094995,0.151475,0.603926,0.668812,0.364558,0.912652,0.376095,0.440393
0.425016,0.403847,0.967593,0.459899,0.230064,0.375117,0.349936,0.199029,0.799243
0.566847,0.87245,0.596426,0.46708,0.906504,0.128023,0.111046,0.350759,0.720475
0.449691,0.071333,0.790317,0.55516,0.133592,0.415034,0.130333,0.482354,0.087347
0.144102,0.650655,0.804535,0.471994,0.501463,0.493757,0.008876,0.247085,0.842052
0.177356,0.473998,0.058338,0.564016,0.967826,0.479861,0.497688,0.371921,0.428393
0.626793,0.264913,0.724652,0.141021,0.353444,0.44664,0.237483,0.287185,0.350902
0.736337,0.148376,0.620065,0.693972,0.925297,0.897415,0.203217,0.388517,0.160878
0.945958,0.843039,0.667107,0.168722,0.888295,0.178822,0.743201,0.535011,0.665428
0.604054,0.141766,0.616282,0.125658,0.180774,0.187941,0.981025,0.466288,0.481778
0.751626,0.087083,0.288669,0.993419,0.259492,0.836811,0.796331,0.44645,0.241003
0.235446,0.680974,0.985414,0.930406,0.301553,0.549159,0.006379,0.273881,0.862084
0.624677,0.717421,0.066974,0.675737,0.476624,0.155465,0.256672,0.770705,0.315841
0.464146,0.989407,0.750789,0.339132,0.696431,0.415349,0.422536,0.33467,0.342735
0.118151,0.541411,0.190363,0.078623,0.726498,0.617864,0.540138,0.792678,0.407296
0.725504,0.105098,0.835752,0.043166,0.863408,0.025396,0.541116,0.230542,0.652205
0.866596,0.169372,0.224112,0.175212,0.945597,0.983922,0.887839,0.370032,0.413083
0.760752,0.449902,0.406173,0.490267,0.581754,0.571246,0.150221,0.727753,0.440988
0.294528,0.545389,0.9929,0.709343,0.245437,0.668712,0.998985,0.313372,0.90268
0.624905,0.541968,0.531827,0.951877,0.126797,0.242265,0.859382,0.09817,0.329862
0.537065,0.393424,0.925522,0.513924,0.143134,0.75127,0.336258,0.323537,0.915605
0.469242,0.627651,0.479162,0.98988,0.786903,0.55391,0.840867,0.921047,0.791444
0.602033,0.177488,0.52554,0.307602,0.81989,0.82313,0.888215,0.675135,0.06053
0.771548,0.880953,0.385534,0.690489,0.390997,0.415263,0.971651,0.938848,0.721758
0.363901,0.369277,0.398513,0.777003,0.306407,0.103792,0.922376,0.800725,0.475038
0.600019,0.331489,0.787004,0.885554,0.534391,0.776262,0.298057,0.304627,0.647331
0.35689,0.546252,0.483175,0.424845,0.142951,0.673616,0.416452,0.086594,0.729658
0.221023,0.310894,0.934734,0.317118,0.736822,0.075767,0.974741,0.851171,0.412281
0.883401,0.567274,0.530005,0.341112,0.978528,0.304762,0.079817,0.49456,0.680951
0.267132,0.160026,0.283607,0.927196,0.363391,0.580874,0.955438,0.444915,0.303336
0.633033,0.139751,0.787954,0.846381,0.22716,0.579734,0.783018,0.694589,0.54036
0.846678,0.443929,0.087577,0.885743,0.716605,0.383168,0.644049,0.15499,0.391733
0.01735,0.58405,0.261606,0.228081,0.443004,0.256601,0.76933,0.668396,0.430601
0.483043,0.545784,0.626827,0.320813,0.830142,0.076991,0.549457,0.410804,0.685002
0.998437,0.758002,0.583951,0.837548,0.778769,0.88257,0.733398,0.782666,0.840894
0.200099,0.672227,0.08793,0.812019,0.760555,0.845315,0.696947,0.162504,0.301663
0.871635,0.846922,0.877701,0.934112,0.573983,0.00335,0.075282,0.289964,0.576999
0.714589,0.684658,0.849167,0.45441,0.994801,0.735132,0.150294,0.950068,0.875331
0.720079,0.942665,0.766503,0.396023,0.772663,0.288916,0.803818,0.273094,0.653091
0.862421,0.004221,0.725182,0.05142,0.572222,0.417613,0.457839,0.647483,0.395275
0.849308,0.638869,0.875897,0.624464,0.815792,0.958342,0.024973,0.774759,0.860637
0.510636,0.246266,0.582997,0.808984,0.75789,0.070477,0.09019,0.825109,0.456377
0.968884,0.111504,0.41472,0.122257,0.030158,0.482252,0.680694,0.021362,0.242546
0.871199,0.511096,0.087175,0.132806,0.309059,0.665037,0.257455,0.935838,0.443439
0.45279,0.142689,0.129109,0.779421,0.936294,0.667258,0.569135,0.133021,0.40121
0.814663,0.422333,0.409242,0.069648,0.902316,0.756621,0.250562,0.091717,0.519806
0.587774,0.552575,0.672595,0.391188,0.517817,0.295613,0.339812,0.046401,0.937456
0.970123,0.930203,0.484279,0.967718,0.336008,0.473328,0.707777,0.18303,0.717013
0.352919,0.818215,0.7785,0.999439,0.42624,0.586047,0.877103,0.925331,0.869056
0.044481,0.518618,0.402175,0.310606,0.303475,0.853267,0.32843,0.757017,0.483714
0.305526,0.369062,0.785661,0.330132,0.443533,0.150149,0.918733,0.576704,0.599237
0.098897,0.978001,0.195004,0.054756,0.646496,0.389029,0.136209,0.232862,0.375682
0.057597,0.924114,0.228841,0.654392,0.777018,0.467931,0.031176,0.028829,0.656453
0.920392,0.204919,0.203064,0.504684,0.862197,0.671164,0.217042,0.756202,0.632933
0.33688,0.286735,0.201649,0.7164,0.834364,0.005008,0.93054,0.008583,0.461267
0.605793,0.366771,0.316282,0.984008,0.112227,0.434796,0.20766,0.07281,0.349161
0.360114,0.728185,0.828263,0.202669,0.374669,0.070011,0.265252,0.97687,0.535504
0.080425,0.547332,0.630472,0.566511,0.894315,0.328556,0.923947,0.196565,0.805326
0.243017,0.920207,0.618999,0.778834,0.062663,0.644471,0.652503,0.224509,0.514157
0.770962,0.039745,0.295293,0.293747,0.978585,0.267141,0.887045,0.014128,0.433543
0.437362,0.883605,0.929521,0.7217,0.905282,0.603587,0.629343,0.994314,0.542494
0.713088,0.456608,0.023507,0.256589,0.520171,0.84755,0.255925,0.217022,0.421534
0.041016,0.282395,0.325974,0.841387,0.295881,0.241283,0.366086,0.626608,0.074452
0.12514,0.991438,0.85952,0.433595,0.188163,0.329981,0.875766,0.443442,0.264622
0.165041,0.518697,0.735289,0.879039,0.046723,0.812931,0.506451,0.637285,0.619663
0.889251,0.870992,0.100171,0.504009,0.51698,0.230326,0.230779,0.607639,0.563286
0.000571,0.60337,0.710757,0.646538,0.785404,0.380874,0.095229,0.51648,0.896795
0.008317,0.781059,0.785438,0.580456,0.242262,0.328655,0.595364,0.932885,0.823413
0.853994,0.375224,0.270372,0.519971,0.775986,0.128814,0.402308,0.372544,0.56204
0.15498,0.447535,0.650925,0.249325,0.450776,0.842163,0.725052,0.507289,0.876023
0.389723,0.305143,0.336467,0.173203,0.19547,0.107686,0.366335,0.812114,0.403367
0.609822,0.073832,0.740703,0.857237,0.667424,0.039851,0.446452,0.280526,0.360087
0.811341,0.601239,0.923073,0.355753,0.016731,0.877556,0.488291,0.436592,0.856553
0.253437,0.015069,0.888889,0.939342,0.477638,0.187677,0.55197,0.653558,0.310833
0.217465,0.505424,0.823576,0.444889,0.986691,0.461713,0.5286,0.875964,0.8861
0.654561,0.920309,0.32888,0.680929,0.736065,0.359848,0.769606,0.303388,0.776223
0.64166,0.113587,0.390212,0.28984,0.322756,0.816363,0.170961,0.297969,0.132053
0.221461,0.662667,0.535967,0.530804,0.813362,0.12829,0.593463,0.988277,0.778448
0.571054,0.568102,0.435128,0.055431,0.976893,0.828835,0.761624,0.156685,0.532898
0.455717,0.339424,0.059977,0.101491,0.041266,0.119844,0.671275,0.731786,0.400382
0.919895,0.853635,0.625596,0.619194,0.253497,0.105178,0.20574,0.799686,0.828819
0.546794,0.884315,0.858484,0.012934,0.80416,0.5106,0.050884,0.242858,0.75619
0.966888,0.570597,0.336043,0.038657,0.084692,0.784872,0.9888,0.132831,0.476984
0.287103,0.781799,0.209963,0.422941,0.137404,0.465861,0.231594,0.304639,0.53579
0.897199,0.450389,0.572199,0.360714,0.396854,0.825685,0.821928,0.647957,0.413659
0.722925,0.773858,0.851024,0.658962,0.572865,0.226385,0.00858,0.267766,0.869105
0.395137,0.288605,0.613518,0.678283,0.265682,0.836228,0.990345,0.095498,0.637948
0.298321,0.303233,0.265362,0.336521,0.816219,0.130841,0.461691,0.384322,0.310496
0.450516,0.93872,0.522533,0.775809,0.226809,0.676953,0.483969,0.804109,0.839724
0.50951,0.323262,0.626566,0.924673,0.949971,0.477893,0.431949,0.529294,0.312135
0.461049,0.938103,0.148491,0.464529,0.038107,0.047235,0.519272,0.11812,0.578924
0.241484,0.157338,0.130154,0.338379,0.039851,0.344318,0.786974,0.191104,0.429623
0.595403,0.759403,0.112118,0.259232,0.946824,0.601123,0.223864,0.405272,0.382686
0.774443,0.530422,0.639669,0.113101,0.152784,0.888369,0.176447,0.483044,0.746201
0.034379,0.753199,0.917682,0.775915,0.011928,0.183273,0.546754,0.981932,0.785708
0.669273,0.155771,0.814017,0.815801,0.321179,0.313268,0.025169,0.080587,0.626719
0.896003,0.343564,0.577606,0.216239,0.425637,0.450454,0.338395,0.230276,0.768403
0.565007,0.95044,0.348509,0.527434,0.189923,0.912694,0.957348,0.554642,0.73136
0.255918,0.707385,0.524658,0.495112,0.008776,0.210427,0.843879,0.55813,0.707942
0.862755,0.612222,0.366478,0.464364,0.263808,0.348302,0.744222,0.691607,0.604493
0.932204,0.704129,0.841674,0.549379,0.97713,0.813871,0.30411,0.030223,0.535513
0.74504,0.418788,0.878603,0.091784,0.911414,0.633634,0.552906,0.368105,0.867412
0.489982,0.152155,0.097517,0.915344,0.168763,0.364525,0.353185,0.791998,0.425314
0.305243,0.620335,0.628853,0.354706,0.423229,0.98213,0.768851,0.609261,0.758516
0.532365,0.410016,0.565948,0.315315,0.440551,0.036346,0.548293,0.844489,0.561978
0.058614,0.02339,0.641453,0.079303,0.16444,0.727573,0.117612,0.704766,0.082479
0.600409,0.88943,0.748161,0.183611,0.096255,0.059658,0.288383,0.718423,0.617326
0.996863,0.301017,0.062536,0.092879,0.31613,0.473096,0.808856,0.950948,0.505428
0.858007,0.820281,0.47042,0.079005,0.160282,0.860469,0.341427,0.186271,0.834123
0.832923,0.28348,0.533279,0.351677,0.517497,0.908297,0.067189,0.277619,0.335621
0.478052,0.678813,0.687533,0.401181,0.445048,0.606122,0.229201,0.091087,0.94087
0.351998,0.341689,0.089195,0.077847,0.685392,0.938457,0.880568,0.16044,0.48161
0.172218,0.136083,0.190861,0.445492,0.119508,0.77682,0.674227,0.337122,0.478055
0.236316,0.307461,0.272916,0.273048,0.119555,0.566834,0.0193,0.427598,0.281002
0.31372,0.080087,0.792886,0.725264,0.810885,0.504565,0.62639,0.375788,0.256839
0.392888,0.492387,0.88641,0.292635,0.288632,0.452195,0.597365,0.566687,0.892407
0.890333,0.070374,0.675088,0.279408,0.015075,0.056184,0.906715,0.592438,0.132347
0.977092,0.057027,0.531805,0.585138,0.923955,0.354911,0.807449,0.289295,0.194999
0.057391,0.469871,0.761507,0.447214,0.052497,0.827378,0.276832,0.581169,0.499657
0.369819,0.823314,0.4198,0.476032,0.361641,0.166424,0.41013,0.82581,0.88456
0.605027,0.501656,0.554044,0.287159,0.26591,0.666958,0.528412,0.721455,0.760087
0.899349,0.572951,0.86575,0.124387,0.825163,0.420085,0.005127,0.227216,0.809367
0.960482,0.913875,0.272114,0.798343,0.931482,0.816387,0.583389,0.681784,0.645869
0.43962,0.823096,0.745867,0.639857,0.510442,0.365826,0.223725,0.063161,0.672708
0.02262,0.133555,0.731934,0.502597,0.796123,0.47982,0.815367,0.381402,0.291607
0.915879,0.362492,0.457208,0.078351,0.171632,0.571291,0.910795,0.175292,0.24454
0.261265,0.570252,0.53653,0.986212,0.139617,0.653542,0.081124,0.463924,0.795572
0.174519,0.802353,0.398644,0.981555,0.870728,0.010933,0.491519,0.676137,0.763582
0.350349,0.632923,0.022547,0.1252,0.487366,0.648439,0.325963,0.296273,0.406498
0.949525,0.781247,0.949194,0.284369,0.38214,0.599378,0.89066,0.775378,0.696874
0.476396,0.854181,0.782415,0.779034,0.435674,0.090324,0.611391,0.295926,0.898507
0.10009,0.030544,0.786619,0.414902,0.03715,0.96406,0.12848,0.335757,0.205964
0.838648,0.490554,0.103068,0.182806,0.5655,0.48241,0.336527,0.843765,0.395902
0.106842,0.48732,0.798467,0.510701,0.983766,0.315808,0.699517,0.365015,0.797007
0.338173,0.00573,0.058244,0.981024,0.950951,0.947021,0.794166,0.075524,0.609203
0.326674,0.773001,0.465245,0.129762,0.140781,0.208342,0.820156,0.854767,0.838516
0.033891,0.554609,0.823072,0.976722,0.652912,0.191396,0.040687,0.864641,0.762573
0.598508,0.938676,0.778811,0.213597,0.030565,0.320258,0.482329,0.236693,0.594963
0.729021,0.212984,0.643047,0.878143,0.991932,0.514402,0.929324,0.5667,0.600881
0.920951,0.604264,0.720608,0.182711,0.986264,0.288269,0.938138,0.705769,0.723392
0.980119,0.91289,0.740016,0.320758,0.917033,0.037091,0.054075,0.865393,0.361864
0.929071,0.04853,0.83606,0.212914,0.543891,0.387847,0.261697,0.227517,0.165014
0.323386,0.514961,0.989833,0.176173,0.102479,0.644448,0.272798,0.800358,0.650672
0.533411,0.977146,0.839915,0.996918,0.052702,0.271885,0.608927,0.884865,0.493686
0.606551,0.105892,0.161675,0.013488,0.112565,0.108837,0.709472,0.664692,0.698243
0.910136,0.852552,0.430361,0.940157,0.175328,0.676866,0.031697,0.783675,0.826246
0.750935,0.476626,0.192278,0.251238,0.608275,0.198249,0.209185,0.688376,0.466134
0.513597,0.005327,0.291563,0.620134,0.0555,0.290954,0.044065,0.649373,0.235808
0.943417,0.133202,0.803457,0.36499,0.253199,0.087525,0.567483,0.359836,0.366626
0.634908,0.643944,0.107947,0.173962,0.949398,0.851222,0.954118,0.269946,0.488643
0.025439,0.509618,0.264776,0.490916,0.489417,0.101883,0.843846,0.002985,0.459098
0.632718,0.832482,0.386109,0.339242,0.542378,0.970452,0.538677,0.223967,0.818086
0.346799,0.96666,0.732655,0.626398,0.325916,0.906475,0.441464,0.445053,0.576781
0.409929,0.872928,0.615672,0.872512,0.366108,0.233815,0.864289,0.567314,0.634621
0.610733,0.380188,0.639871,0.497479,0.775609,0.786618,0.335701,0.954069,0.60702
0.373697,0.996828,0.380616,0.036485,0.598137,0.854266,0.108978,0.586233,0.79117
0.810577,0.764548,0.511343,0.750721,0.611866,0.521928,0.411913,0.8101,0.792882
0.501048,0.124222,0.983228,0.193367,0.055478,0.922441,0.745811,0.394257,0.189722
0.252757,0.594651,0.293755,0.449118,0.054357,0.080682,0.571587,0.338908,0.821182
0.124611,0.096052,0.900228,0.473714,0.395989,0.299123,0.322562,0.142972,0.806761
0.914777,0.846222,0.126505,0.0228,0.606481,0.048429,0.584114,0.85953,0.637344
0.879968,0.87455,0.861001,0.325149,0.703513,0.411497,0.695436,0.790146,0.571807
0.466237,0.133744,0.895337,0.287318,0.933761,0.111184,0.136098,0.370758,0.77762
0.611359,0.895108,0.106618,0.846537,0.844313,0.185269,0.090624,0.125599,0.586743
0.843176,0.586574,0.648044,0.842677,0.971308,0.987195,0.884402,0.588065,0.846243
0.971216,0.303052,0.22643,0.13413,0.558776,0.495225,0.672783,0.064927,0.272774
0.552314,0.647079,0.750813,0.744537,0.696168,0.993105,0.20611,0.013674,0.900918
0.506405,0.157963,0.623414,0.970203,0.097573,0.215423,0.796698,0.625456,0.495843
0.327766,0.119525,0.108871,0.70682,0.840588,0.599614,0.86334,0.619687,0.295392
0.657218,0.553845,0.992477,0.611427,0.731674,0.578681,0.104004,0.985005,0.89958
0.479129,0.782821,0.372854,0.610081,0.095516,0.648642,0.7432,0.509211,0.666129
0.715372,0.84509,0.112072,0.494266,0.785677,0.958963,0.466729,0.071591,0.467791
0.850104,0.005388,0.314897,0.712094,0.473915,0.630358,0.491445,0.438784,0.22321
0.223504,0.000264,0.266016,0.325862,0.680638,0.054751,0.833896,0.771433,0.585088
0.387829,0.483931,0.870692,0.159609,0.744483,0.805696,0.926279,0.401304,0.879848
0.58868,0.776628,0.372647,0.130713,0.130278,0.724198,0.405938,0.375054,0.457213
0.628829,0.494909,0.234746,0.869719,0.42025,0.940161,0.520698,0.066941,0.447767
0.605772,0.019399,0.615435,0.88796,0.979118,0.20778,0.367754,0.644183,0.200605
0.775178,0.872875,0.731589,0.706259,0.410899,0.821757,0.813312,0.84288,0.813557
0.672991,0.637647,0.35252,0.925738,0.84488,0.709755,0.711922,0.845444,0.642654
0.257334,0.514047,0.639375,0.167717,0.002868,0.952548,0.661906,0.258891,0.494573
0.492035,0.656587,0.42879,0.543216,0.418942,0.956527,0.528365,0.92108,0.877789
0.269707,0.435439,0.51325,0.796177,0.530747,0.53832,0.850949,0.369199,0.264403
0.040684,0.700268,0.000082,0.632309,0.660683,0.764128,0.40599,0.266333,0.355507
0.950697,0.482653,0.416233,0.541773,0.163826,0.409541,0.827728,0.116485,0.574273
0.447599,0.923527,0.374476,0.873842,0.714481,0.703311,0.417852,0.605529,0.848973
0.52478,0.937423,0.741687,0.401379,0.792428,0.397313,0.336271,0.542041,0.537269
0.609106,0.044162,0.478782,0.607049,0.143604,0.633407,0.725771,0.600518,0.090929
0.33307,0.25368,0.085762,0.384949,0.67401,0.700483,0.898881,0.931133,0.264894
0.271383,0.609401,0.00364,0.415693,0.335948,0.472812,0.048451,0.354278,0.33124
0.185211,0.491431,0.825617,0.730729,0.649659,0.546436,0.237069,0.318889,0.875304
0.584793,0.461666,0.971022,0.093701,0.131115,0.792937,0.523135,0.035803,0.85147
0.840174,0.144879,0.895082,0.005179,0.479768,0.970942,0.761593,0.637296,0.070883
0.252092,0.410155,0.902348,0.10735,0.496953,0.73249,0.756781,0.759736,0.85966
0.966045,0.399851,0.860024,0.907845,0.148246,0.638376,0.230982,0.021623,0.858229
0.374915,0.453389,0.954415,0.030326,0.079921,0.628808,0.454013,0.34446,0.696534
0.732171,0.142335,0.179583,0.93673,0.570707,0.964869,0.710166,0.330242,0.157006
0.868665,0.924726,0.499954,0.37524,0.511212,0.306938,0.639495,0.620461,0.922936
0.51696,0.527314,0.436832,0.676318,0.247947,0.846367,0.369149,0.091942,0.576863
0.798293,0.321179,0.651802,0.990127,0.928743,0.798351,0.489015,0.615958,0.287938
0.027544,0.897916,0.263004,0.717566,0.437312,0.62227,0.583267,0.63338,0.733062
0.446501,0.470714,0.91688,0.293093,0.99767,0.937452,0.994453,0.149504,0.894744
0.801476,0.825648,0.61359,0.880691,0.81084,0.748679,0.786054,0.724596,0.8487
0.219708,0.200759,0.343933,0.633969,0.549926,0.803721,0.727251,0.470129,0.378994
0.047007,0.958507,0.816062,0.176914,0.56167,0.121594,0.075773,0.539425,0.636268
0.691245,0.39177,0.144156,0.616588,0.46466,0.129782,0.670234,0.213563,0.431606
0.525315,0.937544,0.778076,0.87621,0.519161,0.868465,0.707625,0.627543,0.798591
0.539698,0.647508,0.955534,0.828487,0.509542,0.25168,0.078013,0.177065,0.742527
0.666704,0.967708,0.339962,0.896837,0.155082,0.499354,0.066584,0.093389,0.788655
0.33005,0.509432,0.137303,0.46462,0.580272,0.674658,0.924711,0.036297,0.354753
0.276988,0.788328,0.871258,0.683669,0.788878,0.745135,0.23424,0.778553,0.874724
0.054385,0.945082,0.370249,0.832436,0.87706,0.406714,0.320103,0.82964,0.699351
0.285145,0.864726,0.875419,0.596994,0.164001,0.357296,0.877946,0.083057,0.648162
